MUNICIPIO,POPULACAO,NOTIFICACOES,CASOS_PROVAVEIS,DESCARTADOS,EM_INVESTIGACAO,DENGUE,SINAIS_ALARME,DENGUE_GRAVE,INCIDENCIA_ACUMULADA,CASOS_ULTIMAS_4SE,INCIDENCIA_ULTIMAS_4SE,HOSPITALIZADOS,OBITOS_DENGUE,LETALIDADE
AGUIA BRANCA,10124,40,14,26,12,2,0,0,138.3,1,9.9,0,0,0.0
ALTO RIO NOVO,7747,14,7,7,4,2,1,0,90.4,0,0.0,1,0,0.0
BAIXO GUANDU,32694,2015,967,1048,3,879,83,2,2957.7,4,12.2,133,1,1.18
COLATINA,128622,1317,252,1065,32,215,5,0,195.9,36,28.0,25,0,0.0
GOVERNADOR LINDENBERG,11467,250,46,204,0,44,2,0,401.2,0,0.0,3,0,0.0
LINHARES,181912,1037,231,806,80,149,2,0,127.0,88,48.4,3,0,0.0
MANTENOPOLIS,13173,39,37,2,34,3,0,0,280.9,1,7.6,1,0,0.0
MARILANDIA,13014,86,4,82,1,3,0,0,30.7,0,0.0,0,0,0.0
PANCAS,19270,1124,625,499,13,610,2,0,3243.4,3,15.6,7,0,0.0
RIO BANANAL,20229,190,11,179,5,6,0,0,54.4,4,19.8,1,0,0.0
SAO DOMINGOS DO NORTE,9008,115,25,90,3,20,2,0,277.5,3,33.3,2,0,0.0
SAO GABRIEL DA PALHA,34210,198,15,183,1,14,0,0,43.8,2,5.8,2,0,0.0
SAO ROQUE DO CANAA,11271,122,2,120,1,1,0,0,17.7,1,8.9,0,0,0.0
SOORETAMA,28453,165,4,161,0,4,0,0,14.1,0,0.0,0,0,0.0
VILA VALERIO,14263,30,4,26,2,2,0,0,28.0,2,14.0,0,0,0.0
REGIONAL,535457,6742,2244,4498,191,1954,97,2,419.1,145,27.1,178,1,1.01
