TERRITORIO,TIPO,CATEGORIA,RESULTADO,SE,CASOS
AGUIA BRANCA,EXAME,NS1,Positivo,,0
AGUIA BRANCA,EXAME,NS1,Negativo,,1
AGUIA BRANCA,EXAME,NS1,Inconclusivo,,0
AGUIA BRANCA,EXAME,NS1,Não realizado,,13
AGUIA BRANCA,EXAME,NS1,Sem preenchimento,,0
AGUIA BRANCA,EXAME,RT-PCR,Positivo,,0
AGUIA BRANCA,EXAME,RT-PCR,Negativo,,4
AGUIA BRANCA,EXAME,RT-PCR,Inconclusivo,,0
AGUIA BRANCA,EXAME,RT-PCR,Não realizado,,9
AGUIA BRANCA,EXAME,RT-PCR,Sem preenchimento,,1
AGUIA BRANCA,EXAME,IgM,Positivo,,0
AGUIA BRANCA,EXAME,IgM,Negativo,,2
AGUIA BRANCA,EXAME,IgM,Inconclusivo,,0
AGUIA BRANCA,EXAME,IgM,Não realizado,,12
AGUIA BRANCA,EXAME,IgM,Sem preenchimento,,0
ALTO RIO NOVO,EXAME,NS1,Positivo,,0
ALTO RIO NOVO,EXAME,NS1,Negativo,,1
ALTO RIO NOVO,EXAME,NS1,Inconclusivo,,0
ALTO RIO NOVO,EXAME,NS1,Não realizado,,6
ALTO RIO NOVO,EXAME,NS1,Sem preenchimento,,0
ALTO RIO NOVO,EXAME,RT-PCR,Positivo,,0
ALTO RIO NOVO,EXAME,RT-PCR,Negativo,,0
ALTO RIO NOVO,EXAME,RT-PCR,Inconclusivo,,0
ALTO RIO NOVO,EXAME,RT-PCR,Não realizado,,7
ALTO RIO NOVO,EXAME,RT-PCR,Sem preenchimento,,0
ALTO RIO NOVO,EXAME,IgM,Positivo,,4
ALTO RIO NOVO,EXAME,IgM,Negativo,,0
ALTO RIO NOVO,EXAME,IgM,Inconclusivo,,0
ALTO RIO NOVO,EXAME,IgM,Não realizado,,2
ALTO RIO NOVO,EXAME,IgM,Sem preenchimento,,1
BAIXO GUANDU,EXAME,NS1,Positivo,,473
BAIXO GUANDU,EXAME,NS1,Negativo,,30
BAIXO GUANDU,EXAME,NS1,Inconclusivo,,0
BAIXO GUANDU,EXAME,NS1,Não realizado,,454
BAIXO GUANDU,EXAME,NS1,Sem preenchimento,,7
BAIXO GUANDU,EXAME,RT-PCR,Positivo,,126
BAIXO GUANDU,EXAME,RT-PCR,Negativo,,1
BAIXO GUANDU,EXAME,RT-PCR,Inconclusivo,,0
BAIXO GUANDU,EXAME,RT-PCR,Não realizado,,837
BAIXO GUANDU,EXAME,RT-PCR,Sem preenchimento,,0
BAIXO GUANDU,EXAME,IgM,Positivo,,118
BAIXO GUANDU,EXAME,IgM,Negativo,,5
BAIXO GUANDU,EXAME,IgM,Inconclusivo,,0
BAIXO GUANDU,EXAME,IgM,Não realizado,,834
BAIXO GUANDU,EXAME,IgM,Sem preenchimento,,7
COLATINA,EXAME,NS1,Positivo,,59
COLATINA,EXAME,NS1,Negativo,,69
COLATINA,EXAME,NS1,Inconclusivo,,0
COLATINA,EXAME,NS1,Não realizado,,127
COLATINA,EXAME,NS1,Sem preenchimento,,3
COLATINA,EXAME,RT-PCR,Positivo,,4
COLATINA,EXAME,RT-PCR,Negativo,,1
COLATINA,EXAME,RT-PCR,Inconclusivo,,0
COLATINA,EXAME,RT-PCR,Não realizado,,252
COLATINA,EXAME,RT-PCR,Sem preenchimento,,1
COLATINA,EXAME,IgM,Positivo,,28
COLATINA,EXAME,IgM,Negativo,,24
COLATINA,EXAME,IgM,Inconclusivo,,0
COLATINA,EXAME,IgM,Não realizado,,202
COLATINA,EXAME,IgM,Sem preenchimento,,4
GOVERNADOR LINDENBERG,EXAME,NS1,Positivo,,14
GOVERNADOR LINDENBERG,EXAME,NS1,Negativo,,3
GOVERNADOR LINDENBERG,EXAME,NS1,Inconclusivo,,0
GOVERNADOR LINDENBERG,EXAME,NS1,Não realizado,,29
GOVERNADOR LINDENBERG,EXAME,NS1,Sem preenchimento,,0
GOVERNADOR LINDENBERG,EXAME,RT-PCR,Positivo,,17
GOVERNADOR LINDENBERG,EXAME,RT-PCR,Negativo,,1
GOVERNADOR LINDENBERG,EXAME,RT-PCR,Inconclusivo,,0
GOVERNADOR LINDENBERG,EXAME,RT-PCR,Não realizado,,27
GOVERNADOR LINDENBERG,EXAME,RT-PCR,Sem preenchimento,,1
GOVERNADOR LINDENBERG,EXAME,IgM,Positivo,,15
GOVERNADOR LINDENBERG,EXAME,IgM,Negativo,,2
GOVERNADOR LINDENBERG,EXAME,IgM,Inconclusivo,,0
GOVERNADOR LINDENBERG,EXAME,IgM,Não realizado,,29
GOVERNADOR LINDENBERG,EXAME,IgM,Sem preenchimento,,0
LINHARES,EXAME,NS1,Positivo,,7
LINHARES,EXAME,NS1,Negativo,,133
LINHARES,EXAME,NS1,Inconclusivo,,1
LINHARES,EXAME,NS1,Não realizado,,96
LINHARES,EXAME,NS1,Sem preenchimento,,1
LINHARES,EXAME,RT-PCR,Positivo,,1
LINHARES,EXAME,RT-PCR,Negativo,,2
LINHARES,EXAME,RT-PCR,Inconclusivo,,0
LINHARES,EXAME,RT-PCR,Não realizado,,233
LINHARES,EXAME,RT-PCR,Sem preenchimento,,2
LINHARES,EXAME,IgM,Positivo,,16
LINHARES,EXAME,IgM,Negativo,,9
LINHARES,EXAME,IgM,Inconclusivo,,0
LINHARES,EXAME,IgM,Não realizado,,211
LINHARES,EXAME,IgM,Sem preenchimento,,2
MANTENOPOLIS,EXAME,NS1,Positivo,,0
MANTENOPOLIS,EXAME,NS1,Negativo,,0
MANTENOPOLIS,EXAME,NS1,Inconclusivo,,0
MANTENOPOLIS,EXAME,NS1,Não realizado,,37
MANTENOPOLIS,EXAME,NS1,Sem preenchimento,,0
MANTENOPOLIS,EXAME,RT-PCR,Positivo,,0
MANTENOPOLIS,EXAME,RT-PCR,Negativo,,0
MANTENOPOLIS,EXAME,RT-PCR,Inconclusivo,,0
MANTENOPOLIS,EXAME,RT-PCR,Não realizado,,37
MANTENOPOLIS,EXAME,RT-PCR,Sem preenchimento,,0
MANTENOPOLIS,EXAME,IgM,Positivo,,0
MANTENOPOLIS,EXAME,IgM,Negativo,,1
MANTENOPOLIS,EXAME,IgM,Inconclusivo,,0
MANTENOPOLIS,EXAME,IgM,Não realizado,,36
MANTENOPOLIS,EXAME,IgM,Sem preenchimento,,0
MARILANDIA,EXAME,NS1,Positivo,,2
MARILANDIA,EXAME,NS1,Negativo,,0
