TERRITORIO,TIPO,CATEGORIA,CASOS,DENOMINADOR,PERCENTUAL
AGUIA BRANCA,SEXO,Feminino,6,14,42.9
AGUIA BRANCA,SEXO,Masculino,8,14,57.1
AGUIA BRANCA,FAIXA_ETARIA,< 1 ano,0,14,0.0
AGUIA BRANCA,FAIXA_ETARIA,1–4 anos,1,14,7.1
AGUIA BRANCA,FAIXA_ETARIA,5–9 anos,0,14,0.0
AGUIA BRANCA,FAIXA_ETARIA,10–19 anos,3,14,21.4
AGUIA BRANCA,FAIXA_ETARIA,20–29 anos,8,14,57.1
AGUIA BRANCA,FAIXA_ETARIA,30–39 anos,0,14,0.0
AGUIA BRANCA,FAIXA_ETARIA,40–49 anos,1,14,7.1
AGUIA BRANCA,FAIXA_ETARIA,50–59 anos,0,14,0.0
AGUIA BRANCA,FAIXA_ETARIA,60–69 anos,1,14,7.1
AGUIA BRANCA,FAIXA_ETARIA,70–79 anos,0,14,0.0
AGUIA BRANCA,FAIXA_ETARIA,80 anos ou mais,0,14,0.0
AGUIA BRANCA,RACA_COR,Branca,3,14,21.4
AGUIA BRANCA,RACA_COR,Preta,0,14,0.0
AGUIA BRANCA,RACA_COR,Amarela,2,14,14.3
AGUIA BRANCA,RACA_COR,Parda,9,14,64.3
AGUIA BRANCA,RACA_COR,Indígena,0,14,0.0
AGUIA BRANCA,RACA_COR,Ignorado,0,14,0.0
AGUIA BRANCA,GESTANTE,1º trimestre,0,0,0.0
AGUIA BRANCA,GESTANTE,2º trimestre,0,0,0.0
AGUIA BRANCA,GESTANTE,3º trimestre,0,0,0.0
AGUIA BRANCA,GESTANTE,Idade gestacional ignorada,0,0,0.0
AGUIA BRANCA,COMORBIDADE,Diabetes,0,14,0.0
AGUIA BRANCA,COMORBIDADE,Hepatopatias,0,14,0.0
AGUIA BRANCA,COMORBIDADE,Hipertensão arterial,0,14,0.0
AGUIA BRANCA,COMORBIDADE,Doenças autoimunes,0,14,0.0
AGUIA BRANCA,COMORBIDADE,Doenças hematológicas,0,14,0.0
AGUIA BRANCA,COMORBIDADE,Doença renal crônica,0,14,0.0
