TERRITORIO,INDICADOR,CASOS,DENOMINADOR,PERCENTUAL
AGUIA BRANCA,Encerrados em até 60 dias,23,34,67.6
AGUIA BRANCA,Encerrados após 60 dias,0,34,0.0
AGUIA BRANCA,Abertos com prazo vencido,11,34,32.4
AGUIA BRANCA,Em investigação há mais de 60 dias,6,12,50.0
AGUIA BRANCA,Encerramento anterior à notificação,0,40,0.0
ALTO RIO NOVO,Encerrados em até 60 dias,4,12,33.3
ALTO RIO NOVO,Encerrados após 60 dias,0,12,0.0
ALTO RIO NOVO,Abertos com prazo vencido,8,12,66.7
ALTO RIO NOVO,Em investigação há mais de 60 dias,4,4,100.0
ALTO RIO NOVO,Encerramento anterior à notificação,0,14,0.0
BAIXO GUANDU,Encerrados em até 60 dias,1982,2012,98.5
BAIXO GUANDU,Encerrados após 60 dias,30,2012,1.5
BAIXO GUANDU,Abertos com prazo vencido,0,2012,0.0
BAIXO GUANDU,Em investigação há mais de 60 dias,0,3,0.0
BAIXO GUANDU,Encerramento anterior à notificação,0,2015,0.0
COLATINA,Encerrados em até 60 dias,1255,1255,100.0
COLATINA,Encerrados após 60 dias,0,1255,0.0
COLATINA,Abertos com prazo vencido,0,1255,0.0
COLATINA,Em investigação há mais de 60 dias,0,32,0.0
COLATINA,Encerramento anterior à notificação,23,1317,1.7
GOVERNADOR LINDENBERG,Encerrados em até 60 dias,249,249,100.0
GOVERNADOR LINDENBERG,Encerrados após 60 dias,0,249,0.0
GOVERNADOR LINDENBERG,Abertos com prazo vencido,0,249,0.0
GOVERNADOR LINDENBERG,Em investigação há mais de 60 dias,0,0,0.0
GOVERNADOR LINDENBERG,Encerramento anterior à notificação,1,250,0.4
LINHARES,Encerrados em até 60 dias,956,956,100.0
LINHARES,Encerrados após 60 dias,0,956,0.0
LINHARES,Abertos com prazo vencido,0,956,0.0
LINHARES,Em investigação há mais de 60 dias,0,80,0.0
LINHARES,Encerramento anterior à notificação,0,1037,0.0
MANTENOPOLIS,Encerrados em até 60 dias,2,33,6.1
MANTENOPOLIS,Encerrados após 60 dias,0,33,0.0
MANTENOPOLIS,Abertos com prazo vencido,31,33,93.9
MANTENOPOLIS,Em investigação há mais de 60 dias,29,34,85.3
MANTENOPOLIS,Encerramento anterior à notificação,1,39,2.6
MARILANDIA,Encerrados em até 60 dias,73,83,88.0
MARILANDIA,Encerrados após 60 dias,1,83,1.2
MARILANDIA,Abertos com prazo vencido,9,83,10.8
MARILANDIA,Em investigação há mais de 60 dias,0,1,0.0
MARILANDIA,Encerramento anterior à notificação,1,86,1.2
PANCAS,Encerrados em até 60 dias,1089,1105,98.6
PANCAS,Encerrados após 60 dias,16,1105,1.4
PANCAS,Abertos com prazo vencido,0,1105,0.0
PANCAS,Em investigação há mais de 60 dias,0,13,0.0
PANCAS,Encerramento anterior à notificação,1,1124,0.1
RIO BANANAL,Encerrados em até 60 dias,184,184,100.0
RIO BANANAL,Encerrados após 60 dias,0,184,0.0
RIO BANANAL,Abertos com prazo vencido,0,184,0.0
RIO BANANAL,Em investigação há mais de 60 dias,0,5,0.0
RIO BANANAL,Encerramento anterior à notificação,0,190,0.0
SAO DOMINGOS DO NORTE,Encerrados em até 60 dias,100,111,90.1
SAO DOMINGOS DO NORTE,Encerrados após 60 dias,11,111,9.9
SAO DOMINGOS DO NORTE,Abertos com prazo vencido,0,111,0.0
SAO DOMINGOS DO NORTE,Em investigação há mais de 60 dias,0,3,0.0
SAO DOMINGOS DO NORTE,Encerramento anterior à notificação,1,115,0.9
SAO GABRIEL DA PALHA,Encerrados em até 60 dias,197,197,100.0
SAO GABRIEL DA PALHA,Encerrados após 60 dias,0,197,0.0
SAO GABRIEL DA PALHA,Abertos com prazo vencido,0,197,0.0
SAO GABRIEL DA PALHA,Em investigação há mais de 60 dias,0,1,0.0
SAO GABRIEL DA PALHA,Encerramento anterior à notificação,0,198,0.0
