SE,Mediana,Q1,Q3
1.0,69.5,20.75,164.75
2.0,80.5,18.75,222.5
3.0,80.0,14.75,334.75
4.0,97.0,17.75,326.0
5.0,110.0,19.75,336.5
6.0,120.0,18.25,374.75
7.0,146.5,20.25,404.0
8.0,125.0,22.75,463.5
9.0,81.0,27.25,503.5
10.0,80.5,42.75,581.5
11.0,83.5,41.0,481.25
12.0,72.0,54.75,544.0
13.0,69.5,55.0,533.5
14.0,93.5,52.0,505.5
15.0,87.0,55.0,497.75
16.0,104.5,49.75,358.5
17.0,125.5,43.5,325.75
18.0,114.0,38.25,304.75
19.0,136.0,52.5,293.75
20.0,142.0,46.5,287.75
21.0,123.0,58.0,329.5
22.0,118.0,45.0,341.25
23.0,111.5,47.0,322.5
24.0,94.5,44.75,258.25
25.0,64.5,22.75,206.5
26.0,64.0,32.75,182.25
27.0,63.0,31.0,175.75
28.0,50.0,24.75,126.75
29.0,47.0,29.25,132.75
30.0,38.0,27.5,90.25
31.0,41.5,26.75,95.0
32.0,54.0,17.75,91.25
33.0,47.5,13.5,93.75
34.0,38.5,13.75,65.75
35.0,23.0,14.75,58.75
36.0,23.0,13.25,46.25
37.0,26.0,18.75,54.0
38.0,25.5,14.75,45.25
39.0,24.5,11.5,34.5
40.0,24.5,11.5,45.75
41.0,18.0,3.25,34.0
42.0,20.5,8.0,46.5
43.0,31.0,13.0,47.75
44.0,27.5,11.25,45.25
45.0,19.0,11.0,48.5
46.0,25.0,11.25,54.0
47.0,25.5,15.25,41.75
48.0,30.5,15.5,61.0
49.0,32.0,15.5,93.5
50.0,40.5,15.75,119.25
51.0,37.5,15.75,82.5
52.0,57.5,17.25,100.25
