MUNICIPIO,SE,CASOS
AGUIA BRANCA,1,0
AGUIA BRANCA,2,0
AGUIA BRANCA,3,0
AGUIA BRANCA,4,0
AGUIA BRANCA,5,0
AGUIA BRANCA,6,0
AGUIA BRANCA,7,0
AGUIA BRANCA,8,0
AGUIA BRANCA,9,0
AGUIA BRANCA,10,6
AGUIA BRANCA,11,0
AGUIA BRANCA,12,0
AGUIA BRANCA,13,1
AGUIA BRANCA,14,1
AGUIA BRANCA,15,1
AGUIA BRANCA,16,1
AGUIA BRANCA,17,0
AGUIA BRANCA,18,0
AGUIA BRANCA,19,0
AGUIA BRANCA,20,0
AGUIA BRANCA,21,0
AGUIA BRANCA,22,0
AGUIA BRANCA,23,0
AGUIA BRANCA,24,0
AGUIA BRANCA,25,0
AGUIA BRANCA,26,0
AGUIA BRANCA,27,0
AGUIA BRANCA,28,1
AGUIA BRANCA,29,1
AGUIA BRANCA,30,1
AGUIA BRANCA,31,0
AGUIA BRANCA,32,0
AGUIA BRANCA,33,0
AGUIA BRANCA,34,0
AGUIA BRANCA,35,0
AGUIA BRANCA,36,0
AGUIA BRANCA,37,1
AGUIA BRANCA,38,0
AGUIA BRANCA,39,0
AGUIA BRANCA,40,0
AGUIA BRANCA,41,0
AGUIA BRANCA,42,0
AGUIA BRANCA,43,0
AGUIA BRANCA,44,0
AGUIA BRANCA,45,0
AGUIA BRANCA,46,0
AGUIA BRANCA,47,0
AGUIA BRANCA,48,0
AGUIA BRANCA,49,0
AGUIA BRANCA,50,0
AGUIA BRANCA,51,0
AGUIA BRANCA,52,0
AGUIA BRANCA,53,0
ALTO RIO NOVO,1,0
ALTO RIO NOVO,2,0
ALTO RIO NOVO,3,0
ALTO RIO NOVO,4,0
ALTO RIO NOVO,5,0
ALTO RIO NOVO,6,1
ALTO RIO NOVO,7,0
ALTO RIO NOVO,8,0
ALTO RIO NOVO,9,1
ALTO RIO NOVO,10,0
ALTO RIO NOVO,11,0
ALTO RIO NOVO,12,1
ALTO RIO NOVO,13,0
ALTO RIO NOVO,14,0
ALTO RIO NOVO,15,0
ALTO RIO NOVO,16,1
ALTO RIO NOVO,17,0
ALTO RIO NOVO,18,1
ALTO RIO NOVO,19,0
ALTO RIO NOVO,20,0
ALTO RIO NOVO,21,1
ALTO RIO NOVO,22,0
ALTO RIO NOVO,23,0
ALTO RIO NOVO,24,0
ALTO RIO NOVO,25,0
ALTO RIO NOVO,26,1
ALTO RIO NOVO,27,0
ALTO RIO NOVO,28,0
ALTO RIO NOVO,29,0
ALTO RIO NOVO,30,0
ALTO RIO NOVO,31,0
ALTO RIO NOVO,32,0
ALTO RIO NOVO,33,0
ALTO RIO NOVO,34,0
ALTO RIO NOVO,35,0
ALTO RIO NOVO,36,0
ALTO RIO NOVO,37,0
ALTO RIO NOVO,38,0
ALTO RIO NOVO,39,0
ALTO RIO NOVO,40,0
ALTO RIO NOVO,41,0
ALTO RIO NOVO,42,0
ALTO RIO NOVO,43,0
ALTO RIO NOVO,44,0
ALTO RIO NOVO,45,0
ALTO RIO NOVO,46,0
ALTO RIO NOVO,47,0
ALTO RIO NOVO,48,0
ALTO RIO NOVO,49,0
ALTO RIO NOVO,50,0
ALTO RIO NOVO,51,0
ALTO RIO NOVO,52,0
ALTO RIO NOVO,53,0
BAIXO GUANDU,1,13
BAIXO GUANDU,2,11
BAIXO GUANDU,3,9
BAIXO GUANDU,4,11
BAIXO GUANDU,5,24
BAIXO GUANDU,6,32
BAIXO GUANDU,7,42
BAIXO GUANDU,8,71
BAIXO GUANDU,9,124
BAIXO GUANDU,10,72
BAIXO GUANDU,11,106
BAIXO GUANDU,12,87
BAIXO GUANDU,13,87
BAIXO GUANDU,14,72
BAIXO GUANDU,15,50
BAIXO GUANDU,16,41
BAIXO GUANDU,17,37
BAIXO GUANDU,18,16
BAIXO GUANDU,19,17
BAIXO GUANDU,20,15
BAIXO GUANDU,21,9
BAIXO GUANDU,22,7
BAIXO GUANDU,23,1
BAIXO GUANDU,24,3
BAIXO GUANDU,25,2
BAIXO GUANDU,26,2
BAIXO GUANDU,27,1
BAIXO GUANDU,28,0
BAIXO GUANDU,29,0
BAIXO GUANDU,30,0
BAIXO GUANDU,31,1
BAIXO GUANDU,32,0
BAIXO GUANDU,33,0
BAIXO GUANDU,34,0
BAIXO GUANDU,35,1
BAIXO GUANDU,36,0
BAIXO GUANDU,37,0
BAIXO GUANDU,38,0
BAIXO GUANDU,39,0
BAIXO GUANDU,40,0
BAIXO GUANDU,41,0
BAIXO GUANDU,42,0
BAIXO GUANDU,43,0
BAIXO GUANDU,44,0
BAIXO GUANDU,45,0
BAIXO GUANDU,46,0
BAIXO GUANDU,47,0
BAIXO GUANDU,48,0
BAIXO GUANDU,49,0
BAIXO GUANDU,50,0
BAIXO GUANDU,51,0
BAIXO GUANDU,52,0
BAIXO GUANDU,53,0
COLATINA,1,3
COLATINA,2,2
COLATINA,3,5
COLATINA,4,3
COLATINA,5,4
COLATINA,6,3
COLATINA,7,6
COLATINA,8,10
COLATINA,9,4
COLATINA,10,1
COLATINA,11,6
COLATINA,12,3
COLATINA,13,2
COLATINA,14,5
COLATINA,15,11
COLATINA,16,17
COLATINA,17,12
COLATINA,18,8
COLATINA,19,15
COLATINA,20,7
COLATINA,21,11
COLATINA,22,7
COLATINA,23,5
COLATINA,24,13
COLATINA,25,4
COLATINA,26,6
COLATINA,27,8
COLATINA,28,2
COLATINA,29,9
COLATINA,30,3
COLATINA,31,5
COLATINA,32,7
COLATINA,33,3
COLATINA,34,6
COLATINA,35,5
COLATINA,36,8
COLATINA,37,21
COLATINA,38,8
COLATINA,39,0
COLATINA,40,0
COLATINA,41,0
COLATINA,42,0
COLATINA,43,0
COLATINA,44,0
COLATINA,45,0
COLATINA,46,0
COLATINA,47,0
COLATINA,48,0
COLATINA,49,0
COLATINA,50,0
COLATINA,51,0
COLATINA,52,0
COLATINA,53,0
GOVERNADOR LINDENBERG,1,1
GOVERNADOR LINDENBERG,2,0
GOVERNADOR LINDENBERG,3,2
GOVERNADOR LINDENBERG,4,2
GOVERNADOR LINDENBERG,5,1
GOVERNADOR LINDENBERG,6,1
GOVERNADOR LINDENBERG,7,11
GOVERNADOR LINDENBERG,8,3
GOVERNADOR LINDENBERG,9,3
GOVERNADOR LINDENBERG,10,0
GOVERNADOR LINDENBERG,11,5
GOVERNADOR LINDENBERG,12,2
GOVERNADOR LINDENBERG,13,2
GOVERNADOR LINDENBERG,14,2
GOVERNADOR LINDENBERG,15,4
GOVERNADOR LINDENBERG,16,3
GOVERNADOR LINDENBERG,17,2
GOVERNADOR LINDENBERG,18,2
GOVERNADOR LINDENBERG,19,0
GOVERNADOR LINDENBERG,20,0
GOVERNADOR LINDENBERG,21,0
GOVERNADOR LINDENBERG,22,0
GOVERNADOR LINDENBERG,23,0
GOVERNADOR LINDENBERG,24,0
GOVERNADOR LINDENBERG,25,0
GOVERNADOR LINDENBERG,26,0
GOVERNADOR LINDENBERG,27,0
GOVERNADOR LINDENBERG,28,0
GOVERNADOR LINDENBERG,29,0
GOVERNADOR LINDENBERG,30,0
GOVERNADOR LINDENBERG,31,0
GOVERNADOR LINDENBERG,32,0
GOVERNADOR LINDENBERG,33,0
GOVERNADOR LINDENBERG,34,0
GOVERNADOR LINDENBERG,35,0
GOVERNADOR LINDENBERG,36,0
GOVERNADOR LINDENBERG,37,0
GOVERNADOR LINDENBERG,38,0
GOVERNADOR LINDENBERG,39,0
GOVERNADOR LINDENBERG,40,0
GOVERNADOR LINDENBERG,41,0
GOVERNADOR LINDENBERG,42,0
GOVERNADOR LINDENBERG,43,0
GOVERNADOR LINDENBERG,44,0
GOVERNADOR LINDENBERG,45,0
GOVERNADOR LINDENBERG,46,0
GOVERNADOR LINDENBERG,47,0
GOVERNADOR LINDENBERG,48,0
GOVERNADOR LINDENBERG,49,0
GOVERNADOR LINDENBERG,50,0
GOVERNADOR LINDENBERG,51,0
GOVERNADOR LINDENBERG,52,0
GOVERNADOR LINDENBERG,53,0
LINHARES,1,3
LINHARES,2,4
LINHARES,3,5
LINHARES,4,10
LINHARES,5,3
LINHARES,6,3
LINHARES,7,0
LINHARES,8,12
LINHARES,9,9
LINHARES,10,6
LINHARES,11,4
LINHARES,12,8
LINHARES,13,4
LINHARES,14,1
LINHARES,15,4
LINHARES,16,3
LINHARES,17,0
LINHARES,18,4
LINHARES,19,3
LINHARES,20,1
LINHARES,21,0
LINHARES,22,1
LINHARES,23,1
LINHARES,24,2
LINHARES,25,5
LINHARES,26,3
LINHARES,27,3
LINHARES,28,1
LINHARES,29,3
LINHARES,30,4
LINHARES,31,9
LINHARES,32,5
LINHARES,33,0
LINHARES,34,17
LINHARES,35,39
LINHARES,36,24
LINHARES,37,20
LINHARES,38,14
LINHARES,39,0
LINHARES,40,0
LINHARES,41,0
LINHARES,42,0
LINHARES,43,0
LINHARES,44,0
LINHARES,45,0
LINHARES,46,0
LINHARES,47,0
LINHARES,48,0
LINHARES,49,0
LINHARES,50,0
LINHARES,51,0
LINHARES,52,0
LINHARES,53,0
MANTENOPOLIS,1,1
MANTENOPOLIS,2,0
MANTENOPOLIS,3,0
MANTENOPOLIS,4,0
MANTENOPOLIS,5,2
MANTENOPOLIS,6,1
MANTENOPOLIS,7,2
MANTENOPOLIS,8,2
MANTENOPOLIS,9,3
MANTENOPOLIS,10,3
MANTENOPOLIS,11,4
MANTENOPOLIS,12,2
MANTENOPOLIS,13,2
MANTENOPOLIS,14,2
MANTENOPOLIS,15,1
MANTENOPOLIS,16,2
MANTENOPOLIS,17,1
MANTENOPOLIS,18,1
MANTENOPOLIS,19,0
MANTENOPOLIS,20,0
MANTENOPOLIS,21,0
MANTENOPOLIS,22,0
MANTENOPOLIS,23,1
MANTENOPOLIS,24,0
MANTENOPOLIS,25,0
MANTENOPOLIS,26,0
MANTENOPOLIS,27,1
MANTENOPOLIS,28,1
