Municipio,SE,Casos,Mediana,Q1,Q3
Alto Rio Novo,1,0.0,0.0,0.0,0.0
Alto Rio Novo,2,0.0,0.0,0.0,0.25
Alto Rio Novo,3,1.0,0.0,0.0,0.0
Alto Rio Novo,4,0.0,0.0,0.0,1.0
Alto Rio Novo,5,0.0,0.0,0.0,0.0
Alto Rio Novo,6,1.0,0.0,0.0,1.0
Alto Rio Novo,7,0.0,0.0,0.0,2.25
Alto Rio Novo,8,0.0,0.0,0.0,5.75
Alto Rio Novo,9,1.0,0.5,0.0,5.25
Alto Rio Novo,10,0.0,0.0,0.0,2.0
Alto Rio Novo,11,0.0,0.0,0.0,1.5
Alto Rio Novo,12,1.0,0.0,0.0,3.75
Alto Rio Novo,13,0.0,1.0,0.0,2.75
Alto Rio Novo,14,0.0,0.0,0.0,2.0
Alto Rio Novo,15,0.0,0.0,0.0,8.0
Alto Rio Novo,16,2.0,0.0,0.0,0.5
Alto Rio Novo,17,0.0,0.0,0.0,1.0
Alto Rio Novo,18,1.0,0.5,0.0,1.0
Alto Rio Novo,19,1.0,0.5,0.0,2.5
Alto Rio Novo,20,0.0,0.0,0.0,1.0
Alto Rio Novo,21,1.0,0.0,0.0,0.0
Alto Rio Novo,22,0.0,0.0,0.0,0.25
Alto Rio Novo,23,0.0,0.0,0.0,0.25
Alto Rio Novo,24,0.0,0.0,0.0,1.0
Alto Rio Novo,25,1.0,0.0,0.0,0.0
Alto Rio Novo,26,1.0,0.0,0.0,0.0
Alto Rio Novo,27,0.0,0.0,0.0,0.25
Alto Rio Novo,28,0.0,0.0,0.0,0.0
Alto Rio Novo,29,1.0,0.0,0.0,0.0
Alto Rio Novo,30,0.0,0.0,0.0,0.25
Alto Rio Novo,31,0.0,0.0,0.0,0.0
Alto Rio Novo,32,1.0,0.0,0.0,0.0
Alto Rio Novo,33,1.0,0.0,0.0,0.0
Alto Rio Novo,34,0.0,0.0,0.0,0.0
Alto Rio Novo,35,0.0,0.0,0.0,0.0
Alto Rio Novo,36,0.0,0.0,0.0,0.0
Alto Rio Novo,37,,0.0,0.0,0.0
Alto Rio Novo,38,,0.0,0.0,0.0
Alto Rio Novo,39,,0.0,0.0,0.0
Alto Rio Novo,40,,0.0,0.0,0.0
Alto Rio Novo,41,,0.0,0.0,0.0
Alto Rio Novo,42,,0.0,0.0,0.0
Alto Rio Novo,43,,0.0,0.0,0.0
Alto Rio Novo,44,,0.0,0.0,0.0
Alto Rio Novo,45,,0.0,0.0,0.0
Alto Rio Novo,46,,0.0,0.0,0.0
Alto Rio Novo,47,,0.0,0.0,0.0
Alto Rio Novo,48,,0.0,0.0,0.0
Alto Rio Novo,49,,0.0,0.0,0.0
Alto Rio Novo,50,,0.0,0.0,0.0
Alto Rio Novo,51,,0.0,0.0,0.0
Alto Rio Novo,52,,0.0,0.0,0.0
Baixo Guandu,1,22.0,0.0,0.0,0.0
Baixo Guandu,2,27.0,1.0,0.0,3.75
Baixo Guandu,3,26.0,1.0,0.0,9.0
Baixo Guandu,4,36.0,1.5,0.0,17.25
Baixo Guandu,5,60.0,2.5,0.0,21.5
Baixo Guandu,6,66.0,2.0,0.0,22.5
Baixo Guandu,7,120.0,1.0,0.75,22.0
Baixo Guandu,8,140.0,4.0,0.75,24.75
Baixo Guandu,9,211.0,6.0,1.75,20.5
Baixo Guandu,10,171.0,2.5,0.75,19.75
Baixo Guandu,11,219.0,2.0,0.75,21.5
Baixo Guandu,12,177.0,4.0,1.0,18.75
Baixo Guandu,13,174.0,6.0,0.75,17.5
Baixo Guandu,14,138.0,3.0,0.75,14.75
Baixo Guandu,15,103.0,4.0,0.75,13.5
Baixo Guandu,16,73.0,4.5,0.75,17.5
Baixo Guandu,17,66.0,2.5,1.75,15.0
Baixo Guandu,18,42.0,5.0,1.5,15.75
Baixo Guandu,19,36.0,4.0,0.75,17.5
Baixo Guandu,20,28.0,3.5,1.0,15.25
Baixo Guandu,21,17.0,4.0,0.75,12.75
Baixo Guandu,22,9.0,2.0,0.0,8.25
Baixo Guandu,23,9.0,1.0,0.0,8.25
Baixo Guandu,24,9.0,1.0,0.0,4.5
Baixo Guandu,25,7.0,0.0,0.0,9.25
Baixo Guandu,26,5.0,0.5,0.0,4.0
Baixo Guandu,27,4.0,0.5,0.0,8.0
Baixo Guandu,28,1.0,0.5,0.0,4.75
Baixo Guandu,29,1.0,1.5,0.0,5.25
Baixo Guandu,30,4.0,0.0,0.0,0.5
Baixo Guandu,31,2.0,0.0,0.0,1.0
Baixo Guandu,32,2.0,1.0,0.0,1.25
Baixo Guandu,33,2.0,0.0,0.0,2.5
Baixo Guandu,34,1.0,0.0,0.0,0.5
Baixo Guandu,35,2.0,0.0,0.0,1.75
Baixo Guandu,36,0.0,0.0,0.0,1.0
Baixo Guandu,37,,0.5,0.0,1.0
Baixo Guandu,38,,0.0,0.0,1.0
Baixo Guandu,39,,0.5,0.0,1.0
Baixo Guandu,40,,0.0,0.0,1.0
Baixo Guandu,41,,0.0,0.0,1.0
Baixo Guandu,42,,0.5,0.0,1.5
Baixo Guandu,43,,0.5,0.0,1.0
Baixo Guandu,44,,0.0,0.0,1.0
Baixo Guandu,45,,0.0,0.0,1.5
Baixo Guandu,46,,0.0,0.0,1.25
Baixo Guandu,47,,0.0,0.0,2.0
Baixo Guandu,48,,1.0,0.0,3.0
Baixo Guandu,49,,1.0,0.0,4.0
Baixo Guandu,50,,1.0,0.0,6.0
Baixo Guandu,51,,0.5,0.0,5.0
Baixo Guandu,52,,1.5,0.0,4.75
Colatina,1,20.0,14.5,0.75,33.25
Colatina,2,17.0,11.5,0.75,33.5
Colatina,3,19.0,19.5,0.75,51.0
Colatina,4,25.0,24.0,1.75,52.75
Colatina,5,37.0,26.5,0.75,91.5
Colatina,6,21.0,22.0,2.5,105.75
Colatina,7,38.0,15.5,1.5,132.5
Colatina,8,35.0,14.5,0.75,179.75
Colatina,9,39.0,6.0,1.0,199.75
Colatina,10,44.0,7.0,4.75,203.25
Colatina,11,42.0,7.0,2.75,139.0
Colatina,12,47.0,8.0,3.0,166.75
Colatina,13,47.0,7.0,3.75,159.5
Colatina,14,56.0,10.0,6.75,145.0
Colatina,15,49.0,16.0,4.25,137.75
Colatina,16,61.0,14.0,5.5,101.25
Colatina,17,51.0,11.0,3.5,73.75
Colatina,18,38.0,12.5,3.5,56.25
Colatina,19,79.0,22.5,3.25,48.0
Colatina,20,34.0,22.5,2.5,53.0
Colatina,21,42.0,23.5,3.5,55.5
Colatina,22,23.0,15.5,6.75,50.25
Colatina,23,40.0,15.5,4.5,44.25
Colatina,24,39.0,8.5,0.75,34.75
Colatina,25,41.0,4.5,1.0,34.75
Colatina,26,47.0,3.5,1.0,24.5
Colatina,27,50.0,4.0,0.75,18.25
Colatina,28,17.0,3.5,0.75,20.25
Colatina,29,27.0,1.0,0.0,16.25
Colatina,30,24.0,3.5,0.75,10.0
Colatina,31,30.0,3.0,0.0,10.25
Colatina,32,37.0,2.0,1.0,5.0
Colatina,33,25.0,2.0,0.0,5.0
Colatina,34,23.0,1.0,0.0,5.0
Colatina,35,17.0,1.5,1.0,4.5
Colatina,36,3.0,0.5,0.0,3.25
Colatina,37,,0.5,0.0,8.25
Colatina,38,,1.0,0.0,8.25
Colatina,39,,0.0,0.0,4.25
Colatina,40,,0.5,0.0,4.75
Colatina,41,,0.0,0.0,1.75
Colatina,42,,1.0,0.75,4.0
Colatina,43,,2.0,0.0,4.25
Colatina,44,,1.0,0.0,5.5
Colatina,45,,2.0,0.0,5.5
Colatina,46,,1.5,0.0,7.5
Colatina,47,,1.0,0.0,6.25
Colatina,48,,2.5,0.75,6.25
Colatina,49,,3.5,0.75,8.25
Colatina,50,,3.5,0.0,10.75
Colatina,51,,1.5,0.0,7.25
Colatina,52,,2.0,0.0,8.75
